text,category,problemType,urgency,sentiment
"Kindly note Kachra nahi uthaya gaya 3 din se, severe smell in entire lane. Kindly look into this immediately.",Sanitation,Garbage Pile,High,Frustrated
Urgent complaint: Bridge expansion joint damaged and vibrating dangerously under traffic. Over 100 families affected in our locality.,Public Works,Bridge Defect,Emergency,Frustrated
Attention ward officer: Water tanker driver is asking for extra money illegally in Ward 5. Expecting quick response from authorities.,Water Board,Billing Issue,High,Frustrated
"Attention ward officer: Cylinder blast in residential apartment, fire spreading fast, call fire station rescue team. Over 100 families affected in our locality.",Fire & Rescue,Cylinder Explosion,Emergency,Frustrated
Citizen alert: Fire in garbage dump yard emitting toxic black smoke and spreading to nearby shops. Over 100 families affected in our locality.,Fire & Rescue,Garbage Fire,High,Frustrated
Traffic signal violation causing near accidents daily at cross junction.,Police,Traffic Violation,Medium,Negative
Attention ward officer: Pedestrian sidewalk paving stones dug up and left unfinished. Expecting quick response from authorities.,Public Works,Potholes,Medium,Negative
Filing grievance for Traffic signal violation causing near accidents daily at cross junction. We need urgent intervention.,Police,Traffic Violation,Medium,Negative
Filing grievance for Open manhole on main street dangerous for pedestrians and children! Expecting quick response from authorities.,Public Works,Open Manhole,Emergency,Frustrated
Grievance report: Traffic signal violation causing near accidents daily at cross junction. Kindly look into this immediately.,Police,Traffic Violation,Medium,Negative
"Grievance report: Bijli chali gayi hai 4 ghante se, transformer se dhuwa nikla hai. Over 100 families affected in our locality.",Electricity Board,Power Outage,Emergency,Frustrated
"Sir/Madam, Thee pidithullathu, urgent fire station rescue and fire engine required. We need urgent intervention.",Fire & Rescue,Building Fire,Emergency,Frustrated
Attention ward officer: Power outage in Phase 2 for past 6 hours. Transformer sparked and caught fire! Kindly look into this immediately.,Electricity Board,Transformer Fire,Emergency,Frustrated
"Issue reported: Paani ki pipe leak ho rahi hai main road par, bahut paani waste ho raha hai. Please resolve ASAP.",Water Board,Pipe Damage,Medium,Negative
Complaint registered from Ward 14: Power cut scheduled without prior notice in industrial layout. Please resolve ASAP.,Electricity Board,Power Outage,Medium,Negative
Help needed: Electric wire hanging dangerous and low near primary school entrance. Over 100 families affected in our locality.,Electricity Board,Dangling Wire,Emergency,Frustrated
Grievance report: Illegal parking blocking emergency ambulance entry route to building. Kindly look into this immediately.,Police,Traffic Violation,High,Frustrated
Grievance report: Government hospital emergency room out of basic lifesaving medicines. Please resolve ASAP.,Healthcare,Hospital Supplies,Emergency,Frustrated
Water tanker driver is asking for extra money illegally in Ward 5.,Water Board,Billing Issue,High,Frustrated
Attention ward officer: Dead animal lying on public road needs immediate sanitary removal. We need urgent intervention.,Sanitation,Sanitation,High,Frustrated
Issue reported: Government hospital emergency room out of basic lifesaving medicines. Over 100 families affected in our locality.,Healthcare,Hospital Supplies,Emergency,Frustrated
Attention ward officer: Auto rickshaw drivers refusing by-meter fare and demanding double charges. Please resolve ASAP.,Transport,Transit Grievance,Low,Negative
Citizen alert: Main water pipe burst near Green Park metro station. Water flooding the road! Kindly look into this immediately.,Water Board,Pipe Damage,Emergency,Frustrated
Filing grievance for Primary Health Centre doctor absent during official duty hours. Over 100 families affected in our locality.,Healthcare,Doctor Absence,High,Frustrated
Low water pressure in Sector 4 Ward 12. Kindly inspect the pump house.,Water Board,Low Pressure,Medium,Neutral
"Attention ward officer: Bijli chali gayi hai 4 ghante se, transformer se dhuwa nikla hai. Expecting quick response from authorities.",Electricity Board,Power Outage,Emergency,Frustrated
Help needed: Vehicle stolen from apartment parking lot last night. Over 100 families affected in our locality.,Police,Theft,High,Frustrated
"Help needed: Underpass flooded with 3 feet of water, road completely impassable. We need urgent intervention.",Public Works,Potholes,High,Frustrated
Help needed: Fire in garbage dump yard emitting toxic black smoke and spreading to nearby shops. Kindly look into this immediately.,Fire & Rescue,Garbage Fire,High,Frustrated
Power cut scheduled without prior notice in industrial layout.,Electricity Board,Power Outage,Medium,Negative
"Kindly note Aag lag gayi hai factory me, jaldi fire brigade aur rescue team bhejo. We need urgent intervention.",Fire & Rescue,Building Fire,Emergency,Frustrated
Help needed: Drainage line choked and blocked with plastic waste causing backflow. Please resolve ASAP.,Sanitation,Sewage Overflow,High,Frustrated
Open manhole on main street dangerous for pedestrians and children!,Public Works,Open Manhole,Emergency,Frustrated
Calling regarding Vehicle stolen from apartment parking lot last night. Kindly look into this immediately.,Police,Theft,High,Frustrated
"Help needed: Drinking water line damaged during digging, water supply completely cut off. Expecting quick response from authorities.",Water Board,No Supply,High,Frustrated
Issue reported: Massive potholes on main road causing severe traffic jams and bike accidents. Kindly look into this immediately.,Public Works,Potholes,High,Frustrated
Issue reported: Water tanker driver is asking for extra money illegally in Ward 5. We need urgent intervention.,Water Board,Billing Issue,High,Frustrated
Attention ward officer: Traffic signal violation causing near accidents daily at cross junction. Over 100 families affected in our locality.,Police,Traffic Violation,Medium,Negative
"Kindly note Underpass flooded with 3 feet of water, road completely impassable. Kindly look into this immediately.",Public Works,Potholes,High,Frustrated
Filing grievance for Chain snatching incident reported near central park 30 mins ago. Suspect ran away. Please resolve ASAP.,Police,Theft,Emergency,Frustrated
Kindly note Mosquito breeding in stagnant water spreading Dengue and Malaria outbreak. Kindly look into this immediately.,Healthcare,Mosquito Hazard,High,Frustrated
Issue reported: Fallen tree blocking colony inner road after gusty winds. Kindly look into this immediately.,Municipal Corporation,Civic Amenities,High,Frustrated
Kindly note Pedestrian sidewalk paving stones dug up and left unfinished. We need urgent intervention.,Public Works,Potholes,Medium,Negative
Help needed: Dead animal lying on public road needs immediate sanitary removal. We need urgent intervention.,Sanitation,Sanitation,High,Frustrated
Filing grievance for Vehicle stolen from apartment parking lot last night. Over 100 families affected in our locality.,Police,Theft,High,Frustrated
Attention ward officer: Power outage in Phase 2 for past 6 hours. Transformer sparked and caught fire! Kindly look into this immediately.,Electricity Board,Transformer Fire,Emergency,Frustrated
Help needed: Illegal construction and encroachment on public park land. Expecting quick response from authorities.,Municipal Corporation,Encroachment,High,Frustrated
"Filing grievance for Fire broke out in commercial building near main market, urgent fire rescue needed! We need urgent intervention.",Fire & Rescue,Building Fire,Emergency,Frustrated
"Grievance report: Smoke coming out of closed shop, smell of burning wire and gas leak. Over 100 families affected in our locality.",Fire & Rescue,Electrical Fire,High,Frustrated
Attention ward officer: Pedestrian sidewalk paving stones dug up and left unfinished. Expecting quick response from authorities.,Public Works,Potholes,Medium,Negative
Citizen alert: Garbage collection vehicle not coming for last 4 days in Block D. Expecting quick response from authorities.,Sanitation,Garbage Pile,High,Frustrated
Kindly note Bio-medical waste discarded openly behind clinic in residential zone. Please resolve ASAP.,Healthcare,Mosquito Hazard,Emergency,Frustrated
"Urgent complaint: Incorrect electricity bill generated, showing 10x normal consumption. Expecting quick response from authorities.",Electricity Board,Meter Defect,Medium,Negative
City bus route 45 consistently delayed by 1 hour daily during peak morning.,Transport,Bus Delay,Medium,Negative
Filing grievance for Auto rickshaw drivers refusing by-meter fare and demanding double charges. We need urgent intervention.,Transport,Transit Grievance,Low,Negative
"Sir/Madam, Heavy smoke and flames coming from chemical warehouse, send fire engine immediately. Kindly look into this immediately.",Fire & Rescue,Building Fire,Emergency,Frustrated
Issue reported: Auto rickshaw drivers refusing by-meter fare and demanding double charges. Expecting quick response from authorities.,Transport,Transit Grievance,Low,Negative
"Pani nahi aa raha 2 din se, please jaldi saaf pani ki supply shuru karein.",Water Board,No Supply,High,Frustrated
Help needed: Birth certificate application pending for 45 days with no response from ward. Kindly look into this immediately.,Municipal Corporation,Certificate Delay,Medium,Negative
"Citizen alert: Attempted burglary at locked house in B-Block, door lock tampered. Over 100 families affected in our locality.",Police,Theft,Emergency,Frustrated
Grievance report: Bus driver driving rashly and skipped scheduled stops on Route 23. Kindly look into this immediately.,Transport,Bus Delay,Medium,Negative
Kindly note Traffic light malfunction at Busy Cross junction creating chaotic congestion. We need urgent intervention.,Transport,Traffic Signal,High,Negative
Help needed: Property tax portal showing wrong calculation and pending dues. Kindly look into this immediately.,Municipal Corporation,Property Tax,Low,Negative
Calling regarding Ambulance 108 helpline not answering call during medical emergency. We need urgent intervention.,Healthcare,Hospital Supplies,Emergency,Frustrated
"Filing grievance for Vehicle caught fire on main flyover, road blocked, fire brigade and rescue needed immediately. We need urgent intervention.",Fire & Rescue,Vehicle Fire,Emergency,Frustrated
Attention ward officer: Dead animal lying on public road needs immediate sanitary removal. Expecting quick response from authorities.,Sanitation,Sanitation,High,Frustrated
Filing grievance for Bio-medical waste discarded openly behind clinic in residential zone. Over 100 families affected in our locality.,Healthcare,Mosquito Hazard,Emergency,Frustrated
Complaint registered from Ward 14: Auto rickshaw drivers refusing by-meter fare and demanding double charges. We need urgent intervention.,Transport,Transit Grievance,Low,Negative
"Help needed: Stray dog menace in colony, pack of dogs chasing children and two-wheelers. Over 100 families affected in our locality.",Municipal Corporation,Stray Animals,High,Frustrated
"Filing grievance for Aag lag gayi hai factory me, jaldi fire brigade aur rescue team bhejo. Please resolve ASAP.",Fire & Rescue,Building Fire,Emergency,Frustrated
"Sir/Madam, Bio-medical waste discarded openly behind clinic in residential zone. Kindly look into this immediately.",Healthcare,Mosquito Hazard,Emergency,Frustrated
Urgent complaint: Birth certificate application pending for 45 days with no response from ward. Expecting quick response from authorities.,Municipal Corporation,Certificate Delay,Medium,Negative
"Kindly note Incorrect electricity bill generated, showing 10x normal consumption. We need urgent intervention.",Electricity Board,Meter Defect,Medium,Negative
Help needed: Chain snatching incident reported near central park 30 mins ago. Suspect ran away. We need urgent intervention.,Police,Theft,Emergency,Frustrated
"Kindly note Cylinder blast in residential apartment, fire spreading fast, call fire station rescue team. Please resolve ASAP.",Fire & Rescue,Cylinder Explosion,Emergency,Frustrated
Citizen alert: Stormwater drain slab broken and collapsed into drain on 2nd Avenue. Please resolve ASAP.,Public Works,Open Manhole,High,Frustrated
"Kindly note Aag lag gayi hai factory me, jaldi fire brigade aur rescue team bhejo. We need urgent intervention.",Fire & Rescue,Building Fire,Emergency,Frustrated
Calling regarding Auto rickshaw drivers refusing by-meter fare and demanding double charges. Over 100 families affected in our locality.,Transport,Transit Grievance,Low,Negative
Urgent complaint: Primary Health Centre doctor absent during official duty hours. Please resolve ASAP.,Healthcare,Doctor Absence,High,Frustrated
Urgent complaint: Public toilet in market complex completely uncleaned and unusable. Expecting quick response from authorities.,Sanitation,Sanitation,Medium,Negative
Issue reported: Volt-ampere drop is causing refrigerator to trip continuously. Please resolve ASAP.,Electricity Board,Voltage Fluctuation,Medium,Neutral
"Electrical short circuit fire in basement parking, smoke alarm ringing and people trapped.",Fire & Rescue,Electrical Fire,Emergency,Frustrated
Urgent complaint: Sewage water mixing with rainwater and overflowing on main street. Over 100 families affected in our locality.,Sanitation,Sewage Overflow,Emergency,Frustrated
Loud speakers playing beyond midnight illegally near residential area.,Police,Noise Complaint,Medium,Frustrated
Citizen alert: Pedestrian sidewalk paving stones dug up and left unfinished. Over 100 families affected in our locality.,Public Works,Potholes,Medium,Negative
"Sir/Madam, Pedestrian sidewalk paving stones dug up and left unfinished. Please resolve ASAP.",Public Works,Potholes,Medium,Negative
Urgent complaint: Low water pressure in Sector 4 Ward 12. Kindly inspect the pump house. Expecting quick response from authorities.,Water Board,Low Pressure,Medium,Neutral
"Issue reported: Underpass flooded with 3 feet of water, road completely impassable. Please resolve ASAP.",Public Works,Potholes,High,Frustrated
Thank you water department for repairing the broken pipe quickly today.,Water Board,Pipe Damage,Low,Positive
"Attention ward officer: Bijli chali gayi hai 4 ghante se, transformer se dhuwa nikla hai. Expecting quick response from authorities.",Electricity Board,Power Outage,Emergency,Frustrated
Drunk persons creating public nuisance and harassing pedestrians at bus stop.,Police,Public Safety,High,Frustrated
"Sir/Madam, Power outage in Phase 2 for past 6 hours. Transformer sparked and caught fire! Over 100 families affected in our locality.",Electricity Board,Transformer Fire,Emergency,Frustrated
Kindly note Government hospital emergency room out of basic lifesaving medicines. Over 100 families affected in our locality.,Healthcare,Hospital Supplies,Emergency,Frustrated
Attention ward officer: Electric wire hanging dangerous and low near primary school entrance. Over 100 families affected in our locality.,Electricity Board,Dangling Wire,Emergency,Frustrated
Issue reported: Bridge expansion joint damaged and vibrating dangerously under traffic. Please resolve ASAP.,Public Works,Bridge Defect,Emergency,Frustrated
Complaint registered from Ward 14: Bus shelter collapsed and broken glass scattered around waiting area. We need urgent intervention.,Transport,Transit Grievance,Medium,Negative
Citizen alert: Food poisoning outbreak reported from unhygienic street vendor stall. Please resolve ASAP.,Healthcare,Food Safety,Emergency,Frustrated
"Bijli chali gayi hai 4 ghante se, transformer se dhuwa nikla hai.",Electricity Board,Power Outage,Emergency,Frustrated
Complaint registered from Ward 14: Trade license renewal delayed despite submitting all documents. Expecting quick response from authorities.,Municipal Corporation,Certificate Delay,Low,Neutral
Urgent complaint: Open garbage dump overflowing on pedestrian walkway outside school. Please resolve ASAP.,Sanitation,Garbage Pile,High,Frustrated
Urgent complaint: Illegal construction and encroachment on public park land. Kindly look into this immediately.,Municipal Corporation,Encroachment,High,Frustrated
Issue reported: Birth certificate application pending for 45 days with no response from ward. Kindly look into this immediately.,Municipal Corporation,Certificate Delay,Medium,Negative
Massive potholes on main road causing severe traffic jams and bike accidents.,Public Works,Potholes,High,Frustrated
"Sir/Madam, Government hospital emergency room out of basic lifesaving medicines. Over 100 families affected in our locality.",Healthcare,Hospital Supplies,Emergency,Frustrated
"Calling regarding Stray dog menace in colony, pack of dogs chasing children and two-wheelers. Please resolve ASAP.",Municipal Corporation,Stray Animals,High,Frustrated
Urgent complaint: Illegal parking blocking emergency ambulance entry route to building. Over 100 families affected in our locality.,Police,Traffic Violation,High,Frustrated
Complaint registered from Ward 14: Open garbage dump overflowing on pedestrian walkway outside school. Expecting quick response from authorities.,Sanitation,Garbage Pile,High,Frustrated
"Citizen alert: Stray dog menace in colony, pack of dogs chasing children and two-wheelers. We need urgent intervention.",Municipal Corporation,Stray Animals,High,Frustrated
"Urgent complaint: Cylinder blast in residential apartment, fire spreading fast, call fire station rescue team. Over 100 families affected in our locality.",Fire & Rescue,Cylinder Explosion,Emergency,Frustrated
Issue reported: Sewage water mixing with rainwater and overflowing on main street. Kindly look into this immediately.,Sanitation,Sewage Overflow,Emergency,Frustrated
Calling regarding Bus shelter collapsed and broken glass scattered around waiting area. We need urgent intervention.,Transport,Transit Grievance,Medium,Negative
Kindly note Open garbage dump overflowing on pedestrian walkway outside school. We need urgent intervention.,Sanitation,Garbage Pile,High,Frustrated
Filing grievance for Open manhole on main street dangerous for pedestrians and children! Expecting quick response from authorities.,Public Works,Open Manhole,Emergency,Frustrated
Urgent complaint: Fire in garbage dump yard emitting toxic black smoke and spreading to nearby shops. We need urgent intervention.,Fire & Rescue,Garbage Fire,High,Frustrated
"Sir/Madam, Property tax portal showing wrong calculation and pending dues. Expecting quick response from authorities.",Municipal Corporation,Property Tax,Low,Negative
Kindly note Chain snatching incident reported near central park 30 mins ago. Suspect ran away. We need urgent intervention.,Police,Theft,Emergency,Frustrated
"Attention ward officer: Cylinder blast in residential apartment, fire spreading fast, call fire station rescue team. We need urgent intervention.",Fire & Rescue,Cylinder Explosion,Emergency,Frustrated
Complaint registered from Ward 14: Ambulance 108 helpline not answering call during medical emergency. Over 100 families affected in our locality.,Healthcare,Hospital Supplies,Emergency,Frustrated
Citizen alert: Mosquito breeding in stagnant water spreading Dengue and Malaria outbreak. Kindly look into this immediately.,Healthcare,Mosquito Hazard,High,Frustrated
Help needed: Bridge expansion joint damaged and vibrating dangerously under traffic. Kindly look into this immediately.,Public Works,Bridge Defect,Emergency,Frustrated
Urgent complaint: Government hospital emergency room out of basic lifesaving medicines. We need urgent intervention.,Healthcare,Hospital Supplies,Emergency,Frustrated
Help needed: There is no water supply in our colony since yesterday morning. Pipeline issue. We need urgent intervention.,Water Board,No Supply,High,Frustrated
Issue reported: Contaminated yellow muddy water coming out of taps in Shastri Nagar. Please resolve ASAP.,Water Board,Water Quality,High,Negative
"Calling regarding Cylinder blast in residential apartment, fire spreading fast, call fire station rescue team. Over 100 families affected in our locality.",Fire & Rescue,Cylinder Explosion,Emergency,Frustrated
Complaint registered from Ward 14: Volt-ampere drop is causing refrigerator to trip continuously. Please resolve ASAP.,Electricity Board,Voltage Fluctuation,Medium,Neutral
Urgent complaint: Open manhole on main street dangerous for pedestrians and children! Please resolve ASAP.,Public Works,Open Manhole,Emergency,Frustrated
Attention ward officer: Ambulance 108 helpline not answering call during medical emergency. We need urgent intervention.,Healthcare,Hospital Supplies,Emergency,Frustrated
"Sir/Madam, Mosquito breeding in stagnant water spreading Dengue and Malaria outbreak. We need urgent intervention.",Healthcare,Mosquito Hazard,High,Frustrated
"Sir/Madam, Drunk persons creating public nuisance and harassing pedestrians at bus stop. Over 100 families affected in our locality.",Police,Public Safety,High,Frustrated
Government hospital emergency room out of basic lifesaving medicines.,Healthcare,Hospital Supplies,Emergency,Frustrated
"Sir/Madam, Smoke coming out of closed shop, smell of burning wire and gas leak. Over 100 families affected in our locality.",Fire & Rescue,Electrical Fire,High,Frustrated
Help needed: Streetlight pole sparking continuously with loose wiring. Over 100 families affected in our locality.,Electricity Board,Dangling Wire,High,Frustrated
Grievance report: Frequent voltage fluctuations damaging home electronics in Ward 9. Expecting quick response from authorities.,Electricity Board,Voltage Fluctuation,High,Negative
Urgent complaint: Primary Health Centre doctor absent during official duty hours. Over 100 families affected in our locality.,Healthcare,Doctor Absence,High,Frustrated
Filing grievance for Food poisoning outbreak reported from unhygienic street vendor stall. We need urgent intervention.,Healthcare,Food Safety,Emergency,Frustrated
Filing grievance for Primary Health Centre doctor absent during official duty hours. Expecting quick response from authorities.,Healthcare,Doctor Absence,High,Frustrated
"Aag lag gayi hai factory me, jaldi fire brigade aur rescue team bhejo.",Fire & Rescue,Building Fire,Emergency,Frustrated
Help needed: Open manhole on main street dangerous for pedestrians and children! We need urgent intervention.,Public Works,Open Manhole,Emergency,Frustrated
Public toilet in market complex completely uncleaned and unusable.,Sanitation,Sanitation,Medium,Negative
Complaint registered from Ward 14: Loud speakers playing beyond midnight illegally near residential area. Kindly look into this immediately.,Police,Noise Complaint,Medium,Frustrated
Urgent complaint: Bridge expansion joint damaged and vibrating dangerously under traffic. Please resolve ASAP.,Public Works,Bridge Defect,Emergency,Frustrated
"Calling regarding Smoke coming out of closed shop, smell of burning wire and gas leak. Kindly look into this immediately.",Fire & Rescue,Electrical Fire,High,Frustrated
"Help needed: Kachra nahi uthaya gaya 3 din se, severe smell in entire lane. Over 100 families affected in our locality.",Sanitation,Garbage Pile,High,Frustrated
Attention ward officer: Government hospital emergency room out of basic lifesaving medicines. Over 100 families affected in our locality.,Healthcare,Hospital Supplies,Emergency,Frustrated
"Grievance report: Heavy smoke and flames coming from chemical warehouse, send fire engine immediately. Kindly look into this immediately.",Fire & Rescue,Building Fire,Emergency,Frustrated
"Sir/Madam, Fire in garbage dump yard emitting toxic black smoke and spreading to nearby shops. Please resolve ASAP.",Fire & Rescue,Garbage Fire,High,Frustrated
Grievance report: Bridge expansion joint damaged and vibrating dangerously under traffic. Please resolve ASAP.,Public Works,Bridge Defect,Emergency,Frustrated
Attention ward officer: City bus route 45 consistently delayed by 1 hour daily during peak morning. Over 100 families affected in our locality.,Transport,Bus Delay,Medium,Negative
Attention ward officer: Open garbage dump overflowing on pedestrian walkway outside school. We need urgent intervention.,Sanitation,Garbage Pile,High,Frustrated
Filing grievance for Pedestrian sidewalk paving stones dug up and left unfinished. Over 100 families affected in our locality.,Public Works,Potholes,Medium,Negative
Filing grievance for Trade license renewal delayed despite submitting all documents. We need urgent intervention.,Municipal Corporation,Certificate Delay,Low,Neutral
"Sir/Madam, Vehicle stolen from apartment parking lot last night. Please resolve ASAP.",Police,Theft,High,Frustrated
Help needed: Thank you water department for repairing the broken pipe quickly today. Expecting quick response from authorities.,Water Board,Pipe Damage,Low,Positive
Kindly note Pedestrian sidewalk paving stones dug up and left unfinished. Please resolve ASAP.,Public Works,Potholes,Medium,Negative
"Grievance report: Water tank billing issue, I was overcharged for this month. We need urgent intervention.",Water Board,Billing Issue,Low,Negative
Issue reported: Thank you water department for repairing the broken pipe quickly today. We need urgent intervention.,Water Board,Pipe Damage,Low,Positive
Kindly note Fallen tree blocking colony inner road after gusty winds. Please resolve ASAP.,Municipal Corporation,Civic Amenities,High,Frustrated
"Grievance report: Vehicle caught fire on main flyover, road blocked, fire brigade and rescue needed immediately. Kindly look into this immediately.",Fire & Rescue,Vehicle Fire,Emergency,Frustrated
"Urgent complaint: Water tank billing issue, I was overcharged for this month. Over 100 families affected in our locality.",Water Board,Billing Issue,Low,Negative
"Complaint registered from Ward 14: Thee pidithullathu, urgent fire station rescue and fire engine required. Please resolve ASAP.",Fire & Rescue,Building Fire,Emergency,Frustrated
Complaint registered from Ward 14: Fallen tree blocking colony inner road after gusty winds. Over 100 families affected in our locality.,Municipal Corporation,Civic Amenities,High,Frustrated
Issue reported: Chain snatching incident reported near central park 30 mins ago. Suspect ran away. Over 100 families affected in our locality.,Police,Theft,Emergency,Frustrated
"Calling regarding Underpass flooded with 3 feet of water, road completely impassable. Please resolve ASAP.",Public Works,Potholes,High,Frustrated
Help needed: Primary Health Centre doctor absent during official duty hours. Over 100 families affected in our locality.,Healthcare,Doctor Absence,High,Frustrated
Calling regarding Illegal parking blocking emergency ambulance entry route to building. Expecting quick response from authorities.,Police,Traffic Violation,High,Frustrated
Help needed: Bus driver driving rashly and skipped scheduled stops on Route 23. Over 100 families affected in our locality.,Transport,Bus Delay,Medium,Negative
Filing grievance for Public toilet in market complex completely uncleaned and unusable. Over 100 families affected in our locality.,Sanitation,Sanitation,Medium,Negative
Urgent complaint: Birth certificate application pending for 45 days with no response from ward. Kindly look into this immediately.,Municipal Corporation,Certificate Delay,Medium,Negative
Urgent complaint: Fire in garbage dump yard emitting toxic black smoke and spreading to nearby shops. We need urgent intervention.,Fire & Rescue,Garbage Fire,High,Frustrated
"Kindly note Pani nahi aa raha 2 din se, please jaldi saaf pani ki supply shuru karein. Please resolve ASAP.",Water Board,No Supply,High,Frustrated
"Grievance report: Road damaged and cracked after heavy rainfall, need urgent resurfacing. We need urgent intervention.",Public Works,Potholes,Medium,Negative
Grievance report: Main water pipe burst near Green Park metro station. Water flooding the road! We need urgent intervention.,Water Board,Pipe Damage,Emergency,Frustrated
Calling regarding There is no water supply in our colony since yesterday morning. Pipeline issue. Kindly look into this immediately.,Water Board,No Supply,High,Frustrated
Kindly note Illegal parking blocking emergency ambulance entry route to building. Please resolve ASAP.,Police,Traffic Violation,High,Frustrated
"Calling regarding Aag lag gayi hai factory me, jaldi fire brigade aur rescue team bhejo. Over 100 families affected in our locality.",Fire & Rescue,Building Fire,Emergency,Frustrated
"Grievance report: Aag lag gayi hai factory me, jaldi fire brigade aur rescue team bhejo. Expecting quick response from authorities.",Fire & Rescue,Building Fire,Emergency,Frustrated
"Help needed: Heavy smoke and flames coming from chemical warehouse, send fire engine immediately. We need urgent intervention.",Fire & Rescue,Building Fire,Emergency,Frustrated
Complaint registered from Ward 14: Drunk persons creating public nuisance and harassing pedestrians at bus stop. Expecting quick response from authorities.,Police,Public Safety,High,Frustrated
Citizen alert: Volt-ampere drop is causing refrigerator to trip continuously. Please resolve ASAP.,Electricity Board,Voltage Fluctuation,Medium,Neutral
Help needed: Dead animal lying on public road needs immediate sanitary removal. Over 100 families affected in our locality.,Sanitation,Sanitation,High,Frustrated
Calling regarding Vehicle stolen from apartment parking lot last night. Over 100 families affected in our locality.,Police,Theft,High,Frustrated
Filing grievance for Vehicle stolen from apartment parking lot last night. Over 100 families affected in our locality.,Police,Theft,High,Frustrated
Kindly note Bio-medical waste discarded openly behind clinic in residential zone. Please resolve ASAP.,Healthcare,Mosquito Hazard,Emergency,Frustrated
Kindly note Contaminated yellow muddy water coming out of taps in Shastri Nagar. Expecting quick response from authorities.,Water Board,Water Quality,High,Negative
Citizen alert: Chain snatching incident reported near central park 30 mins ago. Suspect ran away. Please resolve ASAP.,Police,Theft,Emergency,Frustrated
Citizen alert: Property tax portal showing wrong calculation and pending dues. Expecting quick response from authorities.,Municipal Corporation,Property Tax,Low,Negative
"Attention ward officer: Incorrect electricity bill generated, showing 10x normal consumption. Over 100 families affected in our locality.",Electricity Board,Meter Defect,Medium,Negative
"Issue reported: Forest and bush fire spreading near highway residential colony, need firefighters and water tenders. Expecting quick response from authorities.",Fire & Rescue,Wildfire Hazard,Emergency,Frustrated
"Calling regarding Road damaged and cracked after heavy rainfall, need urgent resurfacing. Kindly look into this immediately.",Public Works,Potholes,Medium,Negative
"Sir/Madam, Public toilet in market complex completely uncleaned and unusable. Please resolve ASAP.",Sanitation,Sanitation,Medium,Negative
"Issue reported: Drinking water line damaged during digging, water supply completely cut off. Expecting quick response from authorities.",Water Board,No Supply,High,Frustrated
"Filing grievance for Thee pidithullathu, urgent fire station rescue and fire engine required. Kindly look into this immediately.",Fire & Rescue,Building Fire,Emergency,Frustrated
"Sir/Madam, Food poisoning outbreak reported from unhygienic street vendor stall. We need urgent intervention.",Healthcare,Food Safety,Emergency,Frustrated
Grievance report: Bus shelter collapsed and broken glass scattered around waiting area. Over 100 families affected in our locality.,Transport,Transit Grievance,Medium,Negative
"Sir/Madam, Mosquito breeding in stagnant water spreading Dengue and Malaria outbreak. Kindly look into this immediately.",Healthcare,Mosquito Hazard,High,Frustrated
Citizen alert: Traffic signal violation causing near accidents daily at cross junction. Kindly look into this immediately.,Police,Traffic Violation,Medium,Negative
Issue reported: There is no water supply in our colony since yesterday morning. Pipeline issue. We need urgent intervention.,Water Board,No Supply,High,Frustrated
Calling regarding Traffic signal violation causing near accidents daily at cross junction. Over 100 families affected in our locality.,Police,Traffic Violation,Medium,Negative
"Attention ward officer: Water tank billing issue, I was overcharged for this month. We need urgent intervention.",Water Board,Billing Issue,Low,Negative
Kindly note City bus route 45 consistently delayed by 1 hour daily during peak morning. Please resolve ASAP.,Transport,Bus Delay,Medium,Negative
"Urgent complaint: Electrical short circuit fire in basement parking, smoke alarm ringing and people trapped. Kindly look into this immediately.",Fire & Rescue,Electrical Fire,Emergency,Frustrated
"Complaint registered from Ward 14: Aag lag gayi hai factory me, jaldi fire brigade aur rescue team bhejo. Kindly look into this immediately.",Fire & Rescue,Building Fire,Emergency,Frustrated
Attention ward officer: Bus driver driving rashly and skipped scheduled stops on Route 23. Please resolve ASAP.,Transport,Bus Delay,Medium,Negative
Citizen alert: Property tax portal showing wrong calculation and pending dues. We need urgent intervention.,Municipal Corporation,Property Tax,Low,Negative
Urgent complaint: Drainage line choked and blocked with plastic waste causing backflow. Kindly look into this immediately.,Sanitation,Sewage Overflow,High,Frustrated
Issue reported: City bus route 45 consistently delayed by 1 hour daily during peak morning. Kindly look into this immediately.,Transport,Bus Delay,Medium,Negative
"Sir/Madam, Underpass flooded with 3 feet of water, road completely impassable. Kindly look into this immediately.",Public Works,Potholes,High,Frustrated
Attention ward officer: Government hospital emergency room out of basic lifesaving medicines. We need urgent intervention.,Healthcare,Hospital Supplies,Emergency,Frustrated
Attention ward officer: Fallen tree blocking colony inner road after gusty winds. Over 100 families affected in our locality.,Municipal Corporation,Civic Amenities,High,Frustrated
Complaint registered from Ward 14: Mosquito breeding in stagnant water spreading Dengue and Malaria outbreak. Expecting quick response from authorities.,Healthcare,Mosquito Hazard,High,Frustrated
"Filing grievance for Heavy smoke and flames coming from chemical warehouse, send fire engine immediately. Please resolve ASAP.",Fire & Rescue,Building Fire,Emergency,Frustrated
"Urgent complaint: Smoke coming out of closed shop, smell of burning wire and gas leak. Please resolve ASAP.",Fire & Rescue,Electrical Fire,High,Frustrated
"Grievance report: Thee pidithullathu, urgent fire station rescue and fire engine required. Over 100 families affected in our locality.",Fire & Rescue,Building Fire,Emergency,Frustrated
